feature,weight
intercept,1.877679607165989e-15
Buildinglat,-0.0016080415463345557
hazards_present,-0.052991549916678066
building_type,-0.12712792356110433
number_of_stories,0.002991224241666854
understory_pct_of_building_footprint,0.06336115335087736
year_built,-0.030620822623701624
roof_shape,-0.05315447796414197
mwfrs,-0.030158388851478306
foundation_type,0.041571246413986795
wall_structure,-0.16221570007823422
wall_substrate,0.06590788897479793
wall_cladding,-0.0264117751150503
roof_system,0.11094752359826485
roof_substrate_type,-0.10869120302282585
roof_cover,-0.005621362930788226
Buildinglong,-0.13470982430982464
mindist,-0.40035824024467415
