feature,weight
intercept,3.1935514858043188e-15
Buildinglat,-0.06548188149740988
hazards_present,-0.07360620960715304
building_type,-0.21512165355568522
number_of_stories,-0.021800850881348144
understory_pct_of_building_footprint,0.041960896441983704
year_built,0.0056545183669845
roof_shape,-0.0077738740855295
mwfrs,0.04044441310666386
foundation_type,0.04643594254416325
wall_structure,-0.1109534666984897
wall_substrate,0.03657248676960792
wall_cladding,-0.048782954017726345
roof_system,-0.002071938553610271
roof_substrate_type,-0.050169328928154365
roof_cover,-0.0210314980933282
Buildinglong,-0.10719362175879749
mindist,-0.31457588795469793
