feature,weight
intercept,6.808294035688317e-15
Buildinglat,-0.00820235551442619
hazards_present,-0.08875873876195696
building_type,-0.17677971628933037
number_of_stories,-0.02714730080947205
understory_pct_of_building_footprint,0.03585602978703721
year_built,-0.03950253492517208
roof_shape,-0.023220142741288845
mwfrs,0.07652165315781469
foundation_type,0.06869550398852686
wall_structure,-0.1291920386311276
wall_substrate,0.06768895168085434
wall_cladding,-0.04629233532062672
roof_system,0.07183339310391668
roof_substrate_type,-0.10242391546792705
roof_cover,0.008086531187170556
Buildinglong,-0.11753448741284801
mindist,-0.3497148046686295
