feature,row_mean
overhang_length_u,-0.09449431547020415
wall_length_side,-0.03578734801326922
masonry_leaves,-0.023035709551954067
roof_shape_u,-0.01917825811555594
soffit_present_u,-0.017110555972388034
shortest_dist_from_tornado,-0.015009206623826377
updated_at,-0.011772165003247563
foundation_type_o,-0.010441756170600367
geometry,-0.009524963095745385
mwfrs_u_roof,-0.008936836481731063
wall_fenesteration_protection_right,-0.008165911129248615
wall_fenesteration_protection_back,-0.00776690851257623
wall_fenesteration_protection_front,-0.006916089538571861
soffit_type_u,-0.006404172853599057
wall_substrate_o,-0.006139801789023227
wall_cladding_o,-0.005936825769724497
ip_failure_w,-0.005552582715959641
wall_fenesteration_protection_left,-0.005252135670151597
wall_anchorage_type_u,-0.004941483170485813
wall_anchorage_type_o,-0.004786222776405287
foundation_type_u,-0.0043979932004734506
wall_cladding_u,-0.004006696090326847
large_door_present_front,-0.0033960090827372174
large_door_present_right,-0.003251823097696612
mwfrs_u_moment_frame,-0.002910032130748712
ip_failure_n,-0.0027423989475877228
foundation_damage_cause_u,-0.0023663740154731007
retrofit_type_u,-0.002310314784491651
retrofit_present_u,-0.002126139495022406
parapet_height_m,-0.001782730284624701
roof_cover_u,-0.001581652980639751
roof_substrate_type_u,-0.001428738681987726
r2wall_attachment_u,-0.0013416805084276611
r2wall_attachment_o,-0.001276315625765276
roof_system_u,-0.0011446181507459511
opening_type,-0.001046844984015706
large_door_opening_type_,-0.000821947109815246
door_present_w,-0.0007100364406720362
door_present_e,-0.0006053160868133114
door_present_s,-0.0005824995495427762
door_present_n,-0.00042166656780045114
large_door_present_left,-0.0003159690603051196
large_door_present_back,-0.0003015387165589261
building_low_rise,-0.0002710715718046711
construction_type_u,-0.00024333689104896611
ip_failure_s,-0.00022162932121396113
risk_category_16,-0.00018980458288874613
date,-3.942741438848113e-05
overall_photos_front,0.00016525477799553612
overall_photos_back,0.0003602043911455161
overall_photos_left,0.0005890091287486611
overall_photos_right,0.0008043410877806611
detailed_photos_back,0.001056780094570101
detailed_photos_right,0.001273668149896316
elevations_assessed_front_o,0.001692608686585199
elevations_assessed_back_o,0.0019093964145704858
elevations_assessed_left_o,0.002220459703705491
elevations_assessed_right_o,0.0025040940502365112
address_locality,0.002679326392049166
mwfrs_u_wall,0.002970609685259131
address_country,0.0032013597322455615
address_postal_code,0.0035824216983770365
ip_failure_e,0.003767213244949797
wall_thickness,0.0039223535742273765
front_elevation_orientation,0.004247398054168122
understory_pct_of_building_footprint,0.004609108192464868
buidling_height_m,0.004800582288702766
building_name,0.005102282729810222
roof_slope_u,0.005483255549734084
building_urban_setting,0.0058738310854904935
building_position_on_street,0.006504663071720833
number_stories,0.006838911416465407
occupany_u,0.0072892340920253165
occupancy_o,0.007798355819773023
located_in_historic_district,0.008542763033546825
wall_length_front,0.008959236148201545
year_built_u,0.009909395405674265
detailed_photos_front,0.011371008955874905
created_at,0.012647616428176984
latitude,0.01406251896269287
first_floor_elevation_m,0.01565441058321513
building_area_m2,0.01671315324165727
longitude,0.019042779698168064
completeaddress,0.020704604191410694
detailed_photos_left,0.023517845135577142
name_of_investigator,0.027961654994466033
updated_by,0.039771235767460514
random,0.05731782178569535
wall_substrate_u,0.10123943993694111
structural_wall_system_u,0.27083828588023456
