feature,weight
intercept,0.0009193200926929252
Unnamed0,-0.08344270048658373
Buildinglat,0.12566794871363432
longitude,17.55170404119355
hazards_present,0.06382053531435765
wind_damage_rating,0.7407710421416307
surge_damage_rating,0.9393431416037108
rainwater_ingress_damage_rating,0.0026514536788337893
building_type,-0.006810564705229885
number_of_stories,-0.014978818341842042
understory_pct_of_building_footprint,-0.0015121505002701468
year_built,-0.04832970738082044
roof_shape,-0.012176587868324084
mwfrs,-0.03358920363763955
foundation_type,-0.026700105590563617
wall_structure,-0.0812645738589954
wall_substrate,-0.00944532694573796
wall_cladding,-0.022931169120939912
roof_system,0.13630979878537847
roof_substrate_type,0.0018360743911912279
roof_cover,0.037307406861858586
Buildinglong,-17.660120417008905
mindist,-0.00562678153231987
