feature,weight
intercept,-0.0021967708234845048
Unnamed0,0.08208098160032437
Buildinglat,-0.05134554333122526
longitude,-33.603825121035
hazards_present,0.04608210597832845
wind_damage_rating,0.7544227798972172
surge_damage_rating,0.9380327389284333
rainwater_ingress_damage_rating,-0.006349203477651872
building_type,0.0018277789532312873
number_of_stories,-0.004895538850337224
understory_pct_of_building_footprint,-0.03645616245118245
year_built,-0.04829646608505952
roof_shape,-0.030096141257514423
mwfrs,-0.010970779747388451
foundation_type,-0.008979100057141871
wall_structure,-0.06362731644034304
wall_substrate,-0.00024354438416262364
wall_cladding,-0.025603427170252397
roof_system,0.09337991982756533
roof_substrate_type,0.016320394353100436
roof_cover,0.05236883042884254
Buildinglong,33.526595280777215
mindist,0.008831403916924895
