feature,weight
intercept,-0.001122870466814152
Unnamed0,0.006597580732775746
Buildinglat,-0.006021271599521386
longitude,9.175054093817854
hazards_present,0.032656398272159895
wind_damage_rating,0.7239318268784377
surge_damage_rating,0.8809108579698499
rainwater_ingress_damage_rating,-0.002908418587417888
building_type,-0.029371113186808115
number_of_stories,-0.02066393984439608
understory_pct_of_building_footprint,-0.03342857909784978
year_built,-0.023240634137823263
roof_shape,-0.025870456540611677
mwfrs,-0.03167714903947609
foundation_type,-0.006961635453090251
wall_structure,-0.03119919103848898
wall_substrate,-0.006969146344759791
wall_cladding,-0.03921737798471567
roof_system,0.0459618518098698
roof_substrate_type,-0.0014933748571967333
roof_cover,0.043067551682291476
Buildinglong,-9.274658951596333
mindist,0.014353528321254165
