feature,weight
intercept,-0.006765246001437127
Unnamed0,-0.08144732866192561
Buildinglat,0.09832519122051306
longitude,5.651353754877146
hazards_present,0.03453773606684139
wind_damage_rating,0.7693797872953008
surge_damage_rating,0.987692964443129
rainwater_ingress_damage_rating,-0.016580110666165875
building_type,-0.016572670204556956
number_of_stories,-0.008196163791877945
understory_pct_of_building_footprint,-0.04695421386825472
year_built,-0.05360348877416428
roof_shape,-0.00783633150838756
mwfrs,0.00804240465509335
foundation_type,-0.006666457841177799
wall_structure,-0.04419083579723378
wall_substrate,0.010862012818484286
wall_cladding,-0.051009016116896164
roof_system,0.10153871079517682
roof_substrate_type,-0.03325612670840188
roof_cover,0.02841138415431074
Buildinglong,-5.7668520210363345
mindist,0.018047761098093074
