,0,1,2,3,4
intercept,-3.527200892539892,0.8675107041735278,2.0303089772758267,0.6418037865277535,-0.012422575437227325
Unnamed0,-0.616818330215194,-0.05136715402752951,0.5104061474815503,0.4500491533173323,-0.2922698165561603
Buildinglat,0.6585006239330157,-0.06092702042605604,-0.6907003609503743,-0.22856597051636082,0.32169272795977155
longitude,0.15022219491174887,0.012984926912848404,0.13730755389958205,-0.14522289088533058,-0.15529178483884884
hazards_present,-0.2495353352669009,0.17363443494607117,-0.03676585652475634,0.11758320991466147,-0.0049164530690777915
wind_damage_rating,-5.494682021303648,-2.4742322566922126,1.0676499924298994,3.138320338442891,3.76294394712307
surge_damage_rating,-3.3125659422808043,-2.55098309866024,-0.18268917878239443,2.026424290615842,4.019813929107601
rainwater_ingress_damage_rating,-0.02981021500518525,0.1384343565843356,-0.03335054907884069,-0.10381325933461501,0.028539666834303576
building_type,0.011771583715897984,0.18439340153694592,0.11371428473363558,-0.13141531888011448,-0.17846395110636687
number_of_stories,-0.3433090270837598,0.39562953366102627,0.3836863127377163,0.4084358358857048,-0.8444426552006893
understory_pct_of_building_footprint,0.2941136076220851,0.011347252168472174,0.026175656517682576,-0.29306902422169245,-0.03856749208654607
year_built,0.026239672343125735,0.472907819652073,-0.2978327373540233,-0.004107751351671854,-0.1972070032895024
roof_shape,0.07948033799063335,0.04719938220296289,0.12219339517557988,-0.19589918528585398,-0.052973930083321095
mwfrs,0.17317896534424868,-0.10860585295361574,0.12221236715399304,-0.19583206280240223,0.009046583257776228
foundation_type,0.22648824921671,-0.14070273664171293,-0.2593720864520403,0.28943895397912506,-0.11585238010208432
wall_structure,0.25220907645951673,-0.2011104973416464,-0.056729656302134716,0.24211944908224273,-0.23648837189797664
wall_substrate,-0.0071354699470258815,0.05439840240277366,-0.08728315688007476,-0.08327185098021976,0.12329207540454694
wall_cladding,0.06370434142816808,-0.040289541850475424,-0.10014769831426303,-0.09395491709871662,0.17068781583528836
roof_system,-0.584877399720622,0.053267651973276604,0.17175517089248366,0.006095486240735176,0.35375909061412925
roof_substrate_type,-7.879214467857594e-06,0.035489393849635606,-0.23182965245281734,0.06876411842563109,0.12758401939201766
roof_cover,-0.1321178697292191,0.04227381640173717,0.19485559905819888,-0.17012666073004654,0.06511511499932833
Buildinglong,0.15026636726620168,0.01646241145827124,0.12819564082364493,-0.13965181112769234,-0.15527260842042542
mindist,0.2390775668302941,-0.26158265245765616,0.19229541533912078,-0.18463581683229052,0.014845487120534642
