,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
718,30.453959,-85.0464,Wind,1,0,,Single Family,1.0,0.0,1972.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Brick,"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),0,-85.0464,21.912387075390388
719,30.453985,-85.04584,Wind,2,0,,Single Family,1.0,0.0,1981.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Brick,"""Wood, unknown""",,Asphalt shingles (3-tab),2,-85.04584,21.946295754380632
720,30.45399151,-85.04755519,Wind,0,0,,Single Family,1.0,0.0,1982.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,"Brick,Plywood Siding,Vinyl Siding (unknown)","""Wood, trusses""",Unknown,"""Metal, standing seam""",0,-85.04755519,21.83556252136889
721,30.4539918,-85.04800815,Wind,2,0,,Single Family,1.0,0.0,1975.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Brick,"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),1,-85.04800815,21.80655040163961
722,30.45411723,-85.04871927,Wind,2,0,,Single Family,1.0,0.0,1974.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Brick,"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),1,-85.04871927,21.750727539254196
723,30.45443718,-85.04755586,Wind,0,0,,Single Family,1.0,0.0,1974.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Brick,"""Wood, trusses""",Unknown,"""Metal, corrugated""",0,-85.04755586,21.79867575607693
724,30.45474845,-85.0485865,Wind,1,0,,Religious,1.0,0.0,1970.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Insulated foam board,"Brick,Vinyl Siding (unknown)","""Wood, trusses""",Unknown,Asphalt shingles (3-tab),1,-85.0485865,21.7068951340227
725,30.454763,-85.048352,Wind,4,0,,Barn,1.0,,1974.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Corrugated steel panels,"""Wood, unknown""",,"""Metal, corrugated""",4,-85.048352,21.720704248095014
726,30.45476521,-85.04800882,Wind,1,0,,Single Family,1.0,0.0,1975.0,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Brick,"""Wood, unknown""",,"""Metal, corrugated""",1,-85.04800882,21.742516487657795
727,30.4547733,-85.04759241,"Wind,Tree",1,0,,Single Family,1.0,0.0,1974.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,"Brick,Fiber-Cement Board","""Wood, trusses""",,"""Metal, standing seam""",1,-85.04759241,21.76857406853263
728,30.45513718,-85.04688263,"Tree,Wind",0,0,,Single Family,1.0,0.0,1973.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Brick,"""Wood, trusses""",Unknown,"""Metal, standing seam""",0,-85.04688263,21.78426786611056
