feature,weight
intercept,1.3339019742786072e-14
Buildinglat,-0.041324567800752075
hazards_present,-0.05820482244556144
building_type,-0.1767385296666882
number_of_stories,0.005622001102860369
understory_pct_of_building_footprint,0.05168813171441351
year_built,-0.03930405810454031
roof_shape,-0.03847396221743044
mwfrs,0.04926139917620097
foundation_type,0.051254035355316106
wall_structure,-0.11828274579768433
wall_substrate,0.09501250659812285
wall_cladding,-0.042670580734888025
roof_system,0.09230923603486825
roof_substrate_type,-0.04137051153290297
roof_cover,0.034281205932026916
Buildinglong,-0.16147151622014475
mindist,-0.3801029963574764
