feature,weight
intercept,-1.1905027710339843e-15
Buildinglat,-0.04468247395914569
hazards_present,-0.08531729511662378
building_type,-0.16719181845798536
number_of_stories,0.0064241577503378056
understory_pct_of_building_footprint,0.05109276402981342
year_built,-0.008468881478836449
roof_shape,-0.0271938797123343
mwfrs,-0.018371801929712064
foundation_type,0.06451327762689489
wall_structure,-0.09018093149975231
wall_substrate,0.06474161986921884
wall_cladding,-0.04028687407871674
roof_system,0.003835042157148881
roof_substrate_type,-0.11780900980160887
roof_cover,0.03210307474799438
Buildinglong,-0.14819716826458829
mindist,-0.38957459404478945
